Escenario,t,S,R,A
Baja intensidad,6.616666666666667,691593211.4870476,202650.48062612797,0.03859540957206937
Baja intensidad,6.62,692432265.9446056,202848.06555428496,0.03821137883030965
Baja intensidad,6.623333333333334,693270268.1979281,203045.30480017638,0.03783116925827692
Baja intensidad,6.626666666666667,694107209.8451442,203242.19764262775,0.03745474283469653
Baja intensidad,6.630000000000001,694943082.5989032,203438.74337019093,0.03708206191661013
Baja intensidad,6.633333333333334,695777878.2849605,203634.94128109526,0.036713089235616926
Baja intensidad,6.636666666666667,696611588.8407736,203830.79068320006,0.036347787894142745
Baja intensidad,6.640000000000001,697444206.3141209,204026.29089394663,0.03598612136174866
Baja intensidad,6.6433333333333335,698275722.8617487,204221.44124031076,0.03562805347147885
Baja intensidad,6.646666666666667,699106130.7480441,204416.24105875636,0.03527354841624436
Baja intensidad,6.65,699935422.3437278,204610.68969518848,0.03492257074524717
Baja intensidad,6.653333333333333,700763590.1245561,204804.7865049072,0.03457508536042779
Baja intensidad,6.656666666666667,701590626.6700536,204998.53085256167,0.034231057512957325
Baja intensidad,6.66,702416524.6622636,205191.92211210416,0.0338904527997626
Baja intensidad,6.663333333333334,703241276.8845298,205384.95966674548,0.03355323716008954
Baja intensidad,6.666666666666667,704064876.2202803,205577.64290890898,0.03321937687209474
Baja intensidad,6.670000000000001,704887315.6518368,205769.97124018692,0.03288883854947074
Baja intensidad,6.673333333333334,705708588.2592436,205961.94407129489,0.032561589138108755
Baja intensidad,6.676666666666667,706528687.2191203,206153.5608220286,0.03223759591279362
Baja intensidad,6.680000000000001,707347605.8035322,206344.82092121968,0.031916826473935185
Baja intensidad,6.683333333333334,708165337.378866,206535.72380669182,0.03159924874432265
Baja intensidad,6.686666666666667,708981875.4047346,206726.26892521794,0.031284830965917526
Baja intensidad,6.69,709797213.4328954,206916.45573247634,0.03097354169667837
Baja intensidad,6.693333333333333,710611345.106194,207106.28369300877,0.03066534980741994
Baja intensidad,6.696666666666667,711424264.1575147,207295.75228017726,0.03036022447869766
Baja intensidad,6.7,712235964.4087446,207484.8609761219,0.0300581351977243
Baja intensidad,6.703333333333334,713046439.7697624,207673.60927171857,0.029759051755318715
Baja intensidad,6.706666666666667,713855684.2374413,207861.99666653742,0.029462944242886476
Baja intensidad,6.710000000000001,714663691.8946723,208050.02266880093,0.029169783049431696
Baja intensidad,6.713333333333334,715470456.9093859,208237.68679534236,0.02887953885859104
Baja intensidad,6.716666666666667,716275973.5336053,208424.9885715649,0.028592182645702863
Baja intensidad,6.720000000000001,717080236.1025048,208611.92753140023,0.028307685674904708
Baja intensidad,6.723333333333334,717883239.033495,208798.50321726775,0.02802601949626365
Baja intensidad,6.7266666666666675,718684976.8253083,208984.71518003434,0.027747155942928113
Baja intensidad,6.73,719485444.0571026,209170.5629789734,0.027471067128310284
Baja intensidad,6.733333333333333,720284635.3875792,209356.04618172484,0.02719772544329751
Baja intensidad,6.736666666666667,721082545.5541188,209541.16436425506,0.026927103553492412
Baja intensidad,6.74,721879169.3719283,209725.91711081698,0.02665917439648272
Baja intensidad,6.743333333333334,722674501.7331951,209910.30401391038,0.02639391117912945
Baja intensidad,6.746666666666667,723468537.6062559,210094.32467424212,0.0261312873748894
Baja intensidad,6.75,724261272.0347835,210277.9787006871,0.025871276721161733
Baja intensidad,6.753333333333334,725052700.1369859,210461.26571024902,0.025613853216665317
Baja intensidad,6.756666666666667,725842817.1048106,210644.18532802086,0.025358991118836386
Baja intensidad,6.760000000000001,726631618.2031628,210826.73718714667,0.02510666494125241
Baja intensidad,6.763333333333334,727419098.7691367,211008.92092878223,0.024856849451084552
Baja intensidad,6.7666666666666675,728205254.2112613,211190.73620205684,0.02460951966657453
Baja intensidad,6.7700000000000005,728990080.0087552,211372.1826640345,0.024364650854539847
Baja intensidad,6.773333333333333,729773571.7107882,211553.25997967614,0.024122218527895273
Baja intensidad,6.776666666666667,730555724.935757,211733.96782180096,0.023882198443205566
Baja intensidad,6.78,731336535.3705703,211914.30587104827,0.02364456659826099
Baja intensidad,6.783333333333334,732115998.769952,212094.27381584025,0.023409299229679822
Baja intensidad,6.786666666666667,732894110.9557439,212273.87135234347,0.023176372810530206
Baja intensidad,6.79,733670867.816221,212453.09818443173,0.022945764047975898
Baja intensidad,6.793333333333334,734446265.30542,212631.95402364817,0.022717449880947514
Baja intensidad,6.796666666666667,735220299.4424745,212810.43858916793,0.02249140747783737
Baja intensidad,6.800000000000001,735992966.3109678,212988.55160776118,0.022267614234218393
Baja intensidad,6.803333333333334,736764262.0582794,213166.29281375537,0.022046047770579974
Baja intensidad,6.8066666666666675,737534182.8949531,213343.66194899875,0.02182668593009052
Baja intensidad,6.8100000000000005,738302725.0940684,213520.6587628227,0.021609506776382046
Baja intensidad,6.8133333333333335,739069884.9906288,213697.2830120056,0.02139448859135898
Baja intensidad,6.816666666666667,739835658.9809483,213873.53446073583,0.021181609873024455
Baja intensidad,6.82,740600043.5220492,214049.4128805747,0.020970849333329173
Baja intensidad,6.823333333333334,741363035.131073,214224.91805042053,0.020762185896042624
Baja intensidad,6.826666666666667,742124630.3846939,214400.04975647156,0.020555598694646522
Baja intensidad,6.83,742884825.9185477,214574.8077921903,0.020351067070250112
Baja intensidad,6.833333333333334,743643618.4266601,214749.19195826675,0.020148570569520553
Baja intensidad,6.836666666666667,744401004.6608838,214923.2020625823,0.019948088942638716
Baja intensidad,6.840000000000001,745156981.4303502,215096.83792017365,0.0197496021412736
Baja intensidad,6.843333333333334,745911545.6009228,215270.099353197,0.019553090316580517
Baja intensidad,6.846666666666667,746664694.0946617,215442.9861908919,0.019358533817214
Baja intensidad,6.8500000000000005,747416423.8892883,215615.4982695456,0.019165913187361754
Baja intensidad,6.8533333333333335,748166732.0176626,215787.63543245714,0.01897520916479966
Baja intensidad,6.856666666666667,748915615.5672696,215959.3975299017,0.018786402678965735
Baja intensidad,6.86,749663071.6797085,216130.78441909506,0.018599474849055598
Baja intensidad,6.863333333333334,750409097.5501891,216301.79596415843,0.018414406982130475
Baja intensidad,6.866666666666667,751153690.4270328,216472.43203608211,0.01823118057124918
Baja intensidad,6.87,751896847.6111845,216642.69251269102,0.018049777293616828
Baja intensidad,6.873333333333334,752638566.4557313,216812.5772786092,0.017870179008755153
Baja intensidad,6.876666666666667,753378844.365422,216982.08622522413,0.01769236775668681
Baja intensidad,6.880000000000001,754117678.7961954,217151.2192506523,0.01751632575613819
Baja intensidad,6.883333333333334,754855067.254715,217319.97625970328,0.017342035402761954
Baja intensidad,6.886666666666667,755591007.2979095,217488.3571638457,0.01716947926737683
Baja intensidad,6.890000000000001,756325496.5325224,217656.3618811715,0.01699864009422676
Baja intensidad,6.8933333333333335,757058532.6146586,217823.99033636134,0.01682950079925225
Baja intensidad,6.896666666666667,757790113.2493442,217991.24246064998,0.0166620444683824
Baja intensidad,6.9,758520236.1900883,218158.11819179115,0.016496254355843714
Baja intensidad,6.903333333333334,759248899.2384536,218324.61747402308,0.016332113882487332
Baja intensidad,6.906666666666667,759976100.2436284,218490.74025803403,0.016169606634129887
Baja intensidad,6.91,760701837.102005,218656.4865009274,0.016008716359910944
Baja intensidad,6.913333333333334,761426107.756763,218821.85616618747,0.015849426970668348
Baja intensidad,6.916666666666667,762148910.1974578,218986.84922364473,0.015691722537329932
Baja intensidad,6.920000000000001,762870242.4596181,219151.46564944193,0.015535587289322072
Baja intensidad,6.923333333333334,763590102.6243397,219315.70542599907,0.01538100561299001
Baja intensidad,6.926666666666667,764308488.81789,219479.56854197985,0.015227962050036938
Baja intensidad,6.930000000000001,765025399.2113156,219643.05499225706,0.015076441295978104
Baja intensidad,6.933333333333334,765740832.0200565,219806.16477787832,0.014926428198612502
Baja intensidad,6.936666666666667,766454785.5035613,219968.89790603248,0.014777907756505915
Baja intensidad,6.94,767167257.9649078,220131.25439001498,0.014630865117490321
Baja intensidad,6.943333333333333,767878247.7504294,220293.23424919415,0.014485285577178687
Baja intensidad,6.946666666666667,768587753.2493446,220454.83750897762,0.014341154577495087
Baja intensidad,6.95,769295772.8933917,220616.0642007775,0.014198457705220623
Baja intensidad,6.953333333333334,770002305.1564661,220776.9143619777,0.014057180690549152
Baja intensidad,6.956666666666667,770707348.5542614,220937.38803589917,0.01391730940566126
Baja intensidad,6.960000000000001,771410901.6439157,221097.4852717669,0.013778829863311026
Baja intensidad,6.963333333333334,772112963.0236621,221257.20612467572,0.013641728215429416
Baja intensidad,6.966666666666667,772813531.3324834,221416.55065555702,0.013505990751737912
Baja intensidad,6.970000000000001,773512605.2497667,221575.51893114517,0.013371603898376895
Baja intensidad,6.973333333333334,774210183.4949647,221734.1110239437,0.013238554216548586
Baja intensidad,6.9766666666666675,774906264.8272614,221892.32701219214,0.013106828401173371
Baja intensidad,6.98,775600848.0452412,222050.16697983243,0.01297641327956102
Baja intensidad,6.983333333333333,776293931.9865586,222207.63101647585,0.012847295810090725
Baja intensidad,6.986666666666667,776985515.527613,222364.71921736942,0.012719463080907637
Baja intensidad,6.99,777675597.5832268,222521.43168336258,0.012592902308631611
Baja intensidad,6.993333333333334,778364177.1063298,222677.7685208743,0.012467600837080137
Baja intensidad,6.996666666666667,779051253.0876412,222833.72984185955,0.012343546136002184
Baja intensidad,7.0,779736824.5553584,222989.31576377657,0.012220725799824216
Alta intensidad,0.0,1000000.0,1000.0,0.0
Alta intensidad,0.0033333333333333335,1004001.012149194,1003.1684955268001,0.026533773726950205
Alta intensidad,0.006666666666666667,1008000.1919406917,1006.3467924758748,0.05280353474543363
Alta intensidad,0.01,1011980.1641593998,1009.5347011189416,0.07881190733843878
Alta intensidad,0.013333333333333334,1015924.0621867217,1012.7320356211324,0.10456149251791436
Alta intensidad,0.016666666666666666,1019815.6684461527,1015.9386142762362,0.13005486517473816
Alta intensidad,0.02,1023639.5260160044,1019.1542594996067,0.1552945743229194
Alta intensidad,0.023333333333333334,1027381.0104485546,1022.3787976838631,0.18028314416979144
Alta intensidad,0.02666666666666667,1031026.4166623885,1025.612059299786,0.20502307359233501
Alta intensidad,0.030000000000000002,1034563.020465023,1028.853878834129,0.22951683665883538
Alta intensidad,0.03333333333333333,1037979.0959419284,1032.1040947770916,0.2537668827422402
Alta intensidad,0.03666666666666667,1041263.9420513666,1035.362549586359,0.27777563681530604
Alta intensidad,0.04,1044407.9306549719,1038.629089647401,0.30154549980426837
Alta intensidad,0.043333333333333335,1047402.4588028326,1041.9035652463842,0.32507884870337717
Alta intensidad,0.04666666666666667,1050239.9683122518,1045.1858305339922,0.34837803685924684
Alta intensidad,0.05,1052913.8908500804,1048.4757434747396,0.37144539423623685
Alta intensidad,0.05333333333333334,1055418.647911578,1051.773165828381,0.3942832275460621
Alta intensidad,0.05666666666666667,1057749.570326273,1055.0779630720554,0.4168938206499414
Alta intensidad,0.060000000000000005,1059902.9028136274,1058.3900044010736,0.439279434560115
Alta intensidad,0.06333333333333334,1061875.679117158,1061.7091626134215,0.4614423080060444
Alta intensidad,0.06666666666666667,1063665.7889574068,1065.035314172532,0.48338465712376444
Alta intensidad,0.07,1065271.7983123686,1068.3683390434903,0.5051086762240855
Alta intensidad,0.07333333333333333,1066692.9630837173,1071.7081207045478,0.526616537743591
Alta intensidad,0.07666666666666667,1067929.179870917,1075.0545461025774,0.54791039240895
Alta intensidad,0.08,1068980.857866508,1078.4075055358376,0.5689923697635264
Alta intensidad,0.08333333333333334,1069849.0037060431,1081.7668927266127,0.58986457782985
Alta intensidad,0.08666666666666667,1070534.9828566082,1085.1326045928183,0.6105291040692414
Alta intensidad,0.09000000000000001,1071040.6863002155,1088.5045414054905,0.6309880147201345
Alta intensidad,0.09333333333333334,1071368.2651968906,1091.88260650968,0.6512433559148447
Alta intensidad,0.09666666666666668,1071520.295451123,1095.2667065015657,0.6712971529714566
Alta intensidad,0.1,1071499.3988730134,1098.6567571262294,0.691151197475978
Alta intensidad,0.10333333333333335,1071422.9240175053,1102.0557951557034,0.6842741341850469
